,PARAMS,TRAIN_SCORE,VAL_SCORE
26,"{'lambda': 0.18367346938775508, 'gamma': 0.3061224489795918, 'alpha': 0.22448979591836732, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7059183673469387, 'subsample': 0.8242857142857143, 'min_child_weight': 7, 'eta': 0.07142857142857144, 'learning_rate': 0.038571428571428576, 'n_estimators': 100, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8728955984115601,0.8091229796409607
27,"{'lambda': 0.37755102040816324, 'gamma': 0.44897959183673464, 'alpha': 0.31632653061224486, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8597959183673469, 'subsample': 0.8597959183673469, 'min_child_weight': 0, 'eta': 0.05510204081632654, 'learning_rate': 0.018571428571428572, 'n_estimators': 200, 'max_depth': 7, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8573582768440247,0.8050251007080078
28,"{'lambda': 0.4897959183673469, 'gamma': 0.3877551020408163, 'alpha': 0.08163265306122448, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7946938775510204, 'subsample': 0.7887755102040817, 'min_child_weight': 6, 'eta': 0.00816326530612245, 'learning_rate': 0.07714285714285715, 'n_estimators': 150, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8614829778671265,0.8071266412734985
29,"{'lambda': 0.4081632653061224, 'gamma': 0.4897959183673469, 'alpha': 0.02040816326530612, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9781632653061225, 'subsample': 0.8657142857142857, 'min_child_weight': 4, 'eta': 0.0163265306122449, 'learning_rate': 0.02285714285714286, 'n_estimators': 400, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8654460310935974,0.8094335794448853
30,"{'lambda': 0.14285714285714285, 'gamma': 0.2857142857142857, 'alpha': 0.3469387755102041, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9248979591836735, 'subsample': 0.8775510204081632, 'min_child_weight': 7, 'eta': 0.06938775510204082, 'learning_rate': 0.037142857142857144, 'n_estimators': 350, 'max_depth': 8, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.7917027473449707,0.7983563542366028
31,"{'lambda': 0.3061224489795918, 'gamma': 0.37755102040816324, 'alpha': 0.1020408163265306, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7887755102040817, 'subsample': 0.8834693877551021, 'min_child_weight': 3, 'eta': 0.06122448979591837, 'learning_rate': 0.042857142857142864, 'n_estimators': 250, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8623673915863037,0.8054293394088745
32,"{'lambda': 0.061224489795918366, 'gamma': 0.22448979591836732, 'alpha': 0.42857142857142855, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7946938775510204, 'subsample': 0.7059183673469387, 'min_child_weight': 3, 'eta': 0.05918367346938776, 'learning_rate': 0.052857142857142866, 'n_estimators': 300, 'max_depth': 8, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.7848752737045288,0.8018035292625427
33,"{'lambda': 0.07142857142857142, 'gamma': 0.336734693877551, 'alpha': 0.336734693877551, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9485714285714286, 'subsample': 0.9722448979591837, 'min_child_weight': 2, 'eta': 0.06938775510204082, 'learning_rate': 0.07714285714285715, 'n_estimators': 200, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8515851497650146,0.8050917387008667
34,"{'lambda': 0.29591836734693877, 'gamma': 0.24489795918367346, 'alpha': 0.39795918367346933, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9071428571428571, 'subsample': 0.7651020408163265, 'min_child_weight': 6, 'eta': 0.010204081632653062, 'learning_rate': 0.07857142857142858, 'n_estimators': 200, 'max_depth': 4, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8713891506195068,0.8112468123435974
35,"{'lambda': 0.17346938775510204, 'gamma': 0.37755102040816324, 'alpha': 0.4387755102040816, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8953061224489796, 'subsample': 0.7710204081632652, 'min_child_weight': 2, 'eta': 0.02448979591836735, 'learning_rate': 0.07, 'n_estimators': 150, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8630337715148926,0.8083765506744385
36,"{'lambda': 0.16326530612244897, 'gamma': 0.5, 'alpha': 0.22448979591836732, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9248979591836735, 'subsample': 0.7177551020408163, 'min_child_weight': 5, 'eta': 0.00816326530612245, 'learning_rate': 0.04714285714285715, 'n_estimators': 150, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8545134663581848,0.8065006732940674
37,"{'lambda': 0.01020408163265306, 'gamma': 0.4183673469387755, 'alpha': 0.4081632653061224, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8597959183673469, 'subsample': 0.7177551020408163, 'min_child_weight': 2, 'eta': 0.0, 'learning_rate': 0.07857142857142858, 'n_estimators': 150, 'max_depth': 7, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8233339786529541,0.7982402443885803
38,"{'lambda': 0.13265306122448978, 'gamma': 0.17346938775510204, 'alpha': 0.336734693877551, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7059183673469387, 'subsample': 0.8420408163265306, 'min_child_weight': 3, 'eta': 0.028571428571428574, 'learning_rate': 0.07714285714285715, 'n_estimators': 200, 'max_depth': 7, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8123601675033569,0.7989757657051086
39,"{'lambda': 0.16326530612244897, 'gamma': 0.16326530612244897, 'alpha': 0.18367346938775508, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8657142857142857, 'subsample': 0.7769387755102041, 'min_child_weight': 1, 'eta': 0.020408163265306124, 'learning_rate': 0.08, 'n_estimators': 400, 'max_depth': 8, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.7454779148101807,0.8104107975959778
40,"{'lambda': 0.061224489795918366, 'gamma': 0.1020408163265306, 'alpha': 0.0510204081632653, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8893877551020408, 'subsample': 0.8834693877551021, 'min_child_weight': 8, 'eta': 0.09183673469387756, 'learning_rate': 0.051428571428571435, 'n_estimators': 200, 'max_depth': 4, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8803638219833374,0.8147468566894531
41,"{'lambda': 0.24489795918367346, 'gamma': 0.2755102040816326, 'alpha': 0.37755102040816324, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9722448979591837, 'subsample': 0.7710204081632652, 'min_child_weight': 9, 'eta': 0.020408163265306124, 'learning_rate': 0.06571428571428573, 'n_estimators': 450, 'max_depth': 4, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8572924733161926,0.8049098253250122
42,"{'lambda': 0.25510204081632654, 'gamma': 0.3469387755102041, 'alpha': 0.4183673469387755, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7177551020408163, 'subsample': 0.9071428571428571, 'min_child_weight': 1, 'eta': 0.0979591836734694, 'learning_rate': 0.06285714285714286, 'n_estimators': 350, 'max_depth': 4, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8646780252456665,0.8068395853042603
43,"{'lambda': 0.4387755102040816, 'gamma': 0.4081632653061224, 'alpha': 0.0510204081632653, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8538775510204082, 'subsample': 0.7591836734693878, 'min_child_weight': 1, 'eta': 0.05306122448979592, 'learning_rate': 0.03142857142857143, 'n_estimators': 300, 'max_depth': 4, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8817968964576721,0.8158536553382874
44,"{'lambda': 0.31632653061224486, 'gamma': 0.3061224489795918, 'alpha': 0.47959183673469385, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9426530612244898, 'subsample': 0.8183673469387754, 'min_child_weight': 1, 'eta': 0.022448979591836737, 'learning_rate': 0.04000000000000001, 'n_estimators': 250, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8630468845367432,0.8080084919929504
45,"{'lambda': 0.16326530612244897, 'gamma': 0.0, 'alpha': 0.5, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8242857142857143, 'subsample': 0.9544897959183674, 'min_child_weight': 5, 'eta': 0.02653061224489796, 'learning_rate': 0.06000000000000001, 'n_estimators': 350, 'max_depth': 4, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8638043999671936,0.8084523677825928
46,"{'lambda': 0.2857142857142857, 'gamma': 0.11224489795918366, 'alpha': 0.01020408163265306, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8420408163265306, 'subsample': 0.9722448979591837, 'min_child_weight': 6, 'eta': 0.0816326530612245, 'learning_rate': 0.07142857142857144, 'n_estimators': 150, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8626511096954346,0.8087103366851807
47,"{'lambda': 0.0510204081632653, 'gamma': 0.37755102040816324, 'alpha': 0.1530612244897959, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7, 'subsample': 0.8657142857142857, 'min_child_weight': 0, 'eta': 0.0489795918367347, 'learning_rate': 0.05000000000000001, 'n_estimators': 150, 'max_depth': 8, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8155364990234375,0.7972531914710999
48,"{'lambda': 0.47959183673469385, 'gamma': 0.0510204081632653, 'alpha': 0.5, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7355102040816326, 'subsample': 0.8242857142857143, 'min_child_weight': 6, 'eta': 0.006122448979591837, 'learning_rate': 0.038571428571428576, 'n_estimators': 250, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8476359248161316,0.8030341267585754
49,"{'lambda': 0.3571428571428571, 'gamma': 0.09183673469387754, 'alpha': 0.4081632653061224, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8538775510204082, 'subsample': 0.9604081632653061, 'min_child_weight': 2, 'eta': 0.0673469387755102, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.9193055629730225,0.8384835720062256
50,"{'lambda': 0.22448979591836732, 'gamma': 0.02040816326530612, 'alpha': 0.13265306122448978, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9189795918367347, 'subsample': 0.7, 'min_child_weight': 8, 'eta': 0.08979591836734695, 'learning_rate': 0.05571428571428572, 'n_estimators': 400, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8429954051971436,0.8039939403533936
